STATE,FAC_NAME,ST_ADR,PHONE,INPT_BEDS,ADMIT_AGE_MIN,ADMIT_AGE_MAX,TRACH,VENT,PN,STATUS,PRVDR_NUM,ZIP,FREE,latitude,longitude
ME,"HEALTHSOUTH/MAINE MEDICAL CENTER, LLC","205055 - 13 CHARLES ST, PORTLAND, ME, 04102, USA",2077754000,90,15,,1,0,1,3.0,205055,04102,,43.6532126,-70.2748729
MD,KENNEDY KRIEGER INSTITUTE,"213301 - 707 NORTH  BROADWAY, BALTIMORE, MD, 21205, USA",4439239301,25,0,21,1,1,1,1.0,213301,21205,1,39.2987991,-76.59401729999999
MD,MOUNT WASHINGTON PEDIATRIC HOSPITAL,"213300 - 1708 WEST ROGERS AVENUE, BALTIMORE, MD, 21209, USA",4105785050,12,1,18,1,1,1,1.0,213300,21209,1,39.3631103,-76.65368
MD,UMD REHABILITATION &  ORTHOPAEDIC INSTITUTE,"210058 - 2200 KERNAN DRIVE, BALTIMORE, MD, 21207, USA",4104486701,128,15,,1,0,1,3.0,210058,21207,,39.3138338,-76.7079286
MD,ENCOMPASS HEALTH REHAB HOSPITAL OF SALISBURY,"213028 - 220 TILGHMAN ROAD, SALISBURY, MD, 21804, USA",4105464600,64,16,,1,0,0,3.0,213028,21804,,38.3689213,-75.5490433
CA,FOOTHILL REGIONAL MEDICAL CENTER D/P SNF,"555730 - 14662 NEWPORT AVENUE, TUSTIN, CA, 92780, USA",7146197700,42,,,1,1,0,1.0,555730,92780,1,33.730359,-117.828706
CA,HEALTHBRIDGE CHILDREN'S HOSPITAL - ORANGE D/P SNF,"053308 - 393 S TUSTIN STREET, ORANGE, CA, 92866, USA",7144641853,21,,,1,1,1,1.0,053308,92866,1,33.7827853,-117.8338445
CA,CHILDREN'S HEALTHCARE ORGANIZATION OF NORTHERN CALIFORNIA - PEDIATRIC HOSPI,"053307 - 3777 SOUTH BASCOM AVENUE, CAMPBELL, CA, 95008, USA",4085583640,27,,,1,1,1,1.0,053307,95008,1,37.259755,-121.9475777
CA,RADY CHILDREN'S CONVALESCENT HOSPITAL D/P SNF,"053303 - 3020 CHILDRENS WAY, SAN DIEGO, CA, 92123, USA",8589665833,43,0,20,1,1,1,1.0,053303,92123,0,32.7977575,-117.151407
CA,CHILDREN'S HEALTHCARE ORGANIZATION OF NORTHERN CALIFORNIA - SARATOGA PEDIAT,"555204 - 13425 SOUSA LANE, SARATOGA, CA, 95070, USA",4083401564,37,0,21,1,1,1,1.0,555204,95070,1,37.2728419,-121.9963836
CA,COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO,"056107 - 1676 MEDICAL CTR DR., SAN BERNARDINO, CA, 92411, USA",9098876481,30,,,1,1,1,1.0,056107,92411,0,34.130267,-117.322933
CA,TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF,"555587 - 1720 MOUNTAIN VIEW, LOMA LINDA, CA, 92354, USA",9097966915,80,0,21,1,1,1,1.0,555587,92354,1,34.0703412,-117.2449225
CA,TOTALLY KIDS SPECIALTY HEALTHCARE-SUN VALLEY,"555815 - 10716 LA TUNA CANYON ROAD, SUN VALLEY, CA, 91352, USA",8182525863,45,0,21,1,1,1,1.0,555815,91352,1,34.2337069,-118.3641373
CA,WHITTIER HOSPITAL MEDICAL CENTER D/P SNF,"050735 - 9080 COLIMA RD, WHITTIER, CA, 90605, USA",5629453561,30,,,1,1,1,1.0,050735,90605,0,33.9498216,-118.0033296
CA,CHILDREN'S HOSPITAL CENTRAL CALIFORNIA - MADERA,"053300 - 9300 VALLEY CHILDRENS PLACE, MADERA, CA, 93636, USA",5593533000,20,0,21,1,1,1,1.0,053300,93636,0,36.8840366,-119.8003218
CA,CHILDREN'S HOSPITAL LOS ANGELES,"053302 - 4650 SUNSET BLVD, MS 108, LOS ANGELES, CA, 90027, USA",3236692164,22,,,1,1,1,1.0,053302,90027,0,34.097742,-118.2898809
CA,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,"053301 - 747 52ND STREET, OAKLAND, CA, 94609, USA",5104283000,17,0,20,1,1,1,1.0,053301,94609,0,37.8369379,-122.2672306
NJ,BACHARACH INSTITUTE FOR REHABILITATION,"313030 - 61 W JIMMIE LEEDS ROAD, POMONA, NJ, 08240, USA",6096527000,40,16,,1,0,1,3.0,313030,08240,,39.47885309999999,-74.5395539
NJ,CHILDRENS SPECIALIZED HOSPITAL PSE&G,"313300 - 200 SOMERSET STREET, NEW BRUNSWICK, NJ, 08901, USA",7322587050,68,0,22,1,1,1,1.0,313300,08901,1,40.4948536,-74.45163
NJ,KESSLER INSTITUTE FOR REHABILITATION WELKIND FACILITY,"312006 - PLEASANT HILL RD, CHESTER, NJ, 07930, USA",9732526367,,,,,,,2.0,312006,07930,,40.7932641,-74.6977756
NJ,"KESSLER INSTITUTE FOR REHABILITATION, INC. NORTH FACILITY","310085 - 300 MARKET STREET, SADDLE BROOK, NJ, 07662, USA",2015878500,153,16,,2,2,2,2.0,310085,07662,,40.8959701,-74.093071
NJ,"KESSLER INSTITUTE FOR REHABILITATION, INC. WEST FACILITY","312001 - 1199 PLEASANT VALLEY WAY, WEST ORANGE, NJ, 07052, USA",9732436830,152,16,,1,2,2,2.0,312001,07052,,40.7855586,-74.27707699999999
NJ,WEISMAN CHILDRENS REHABILITATION HOSPITAL,"313302 - 92 BRICK ROAD, 3RD FLOOR, MARLTON, NJ, 08053, USA",8564894520,18,0,20,1,1,1,1.0,313302,08053,1,39.8818867,-74.91813700000002
NJ,VOORHEES PEDIATRIC FACILITY,"315289 - 1304 LAUREL OAK ROAD, VOORHEES, NJ, 08043, USA",8563463300,119,0,21,1,1,1,1.0,315289,08043,1,39.8504655,-74.9697549
NJ,PHOENIX CENTER FOR REHABILITATION AND PEDIATRICS,"315229 - 1433 RINGWOOD AVE, HASKELL, NJ, 07420, USA",9738392119,92,0,21,1,1,1,1.0,315229,07420,1,41.0140965,-74.2988961
MO,BOONE HOSPITAL CENTER,"260068 - 1600 E BROADWAY, COLUMBIA, MO, 65201, USA",5738158000,15,16,,1,0,2,3.0,260068,65201,,38.949304,-92.3155379
MO,MISSOURI DELTA MEDICAL CENTER,"260113 - 1008 NORTH MAIN ST, SIKESTON, MO, 63801, USA",5734711600,11,16,,1,0,1,3.0,260113,63801,,36.8896243,-89.5832845
MO,NORTH KANSAS CITY HOSPITAL,"260096 - 2800 CLAY EDWARDS DRIVE, NORTH KANSAS CITY, MO, 64116, USA",8166912000,48,16,,0,0,0,3.0,260096,64116,,39.1495404,-94.551452
MO,ST. LOUIS CHILDREN'S HOSPITAL,"263301 - ONE CHILDRENS PLACE, SAINT LOUIS, MO, 63110, USA",3144546000,9,0,,3,3,3,1.0,263301,63110,0,38.6365731,-90.2625516
MO,WOMEN AND CHILDREN'S HOSPITAL,"260178 - 404 KEENE ST, COLUMBIA, MO, 65201, USA",5738759200,10,,,1,0,1,1.0,260178,65201,0,38.9574815,-92.28834739999999
MO,CHILDREN'S MERCY HOSPITAL,"263302 - 2401 GILLHAM ROAD, KANSAS CITY, MO, 64108, USA",8162343000,6,0,18,1,0,3,1.0,263302,64108,0,39.0834675,-94.57711289999999
MO,RANKEN JORDAN PEDIATRIC BRIDGE HOSPITAL,"260212 - 10621 LADUE RD, CREVE COEUR, MO, 63141, USA",3148726400,60,0,21,1,1,1,1.0,260212,63141,1,38.655644,-90.411194
MN,ESSENTIA HEALTH DULUTH,"240019 - 502 EAST SECOND STREET, DULUTH, MN, 55805, USA",2187862652,1,0,,1,1,1,1.0,240019,55805,0,46.7926452,-92.09373939999999
MN,GILLETTE CHILDREN'S SPEC HOSP,"243300 - 200 UNIVERSITY AVENUE EAST, SAINT PAUL, MN, 55106, USA",6515785611,17,0,18,1,1,1,1.0,243300,55106,1,44.956391,-93.0955644
MN,HENNEPIN COUNTY MEDICAL CTR,"240004 - 701 PARK AVENUE, MINNEAPOLIS, MN, 55415, USA",6128736422,,13,,1,0,3,2.0,240004,55415,0,44.9720547,-93.2617538
MN,MAYO CLINIC HOSPITAL ROCHESTER,"240010 - 1216 SECOND STREET SOUTHWEST, ROCHESTER, MN, 55902, USA",5072551991,36,3,,2,1,1,1.0,240010,55902,0,44.0197162,-92.4797351
MN,NORTH MEMORIAL HEALTH,"240001 - 3300 OAKDALE NORTH, ROBBINSDALE, MN, 55422, USA",7635205200,13,14,,1,0,1,2.0,240001,55422,0,45.0140935,-93.32250499999999
MN,ST. CLOUD HOSPITAL,"240036 - 1406 6TH AVE NORTH, SAINT CLOUD, MN, 56303, USA",3202555661,20,12,,1,0,1,2.0,240036,56303,0,45.5753593,-94.16920480000002
MN,M HEALTH FAIRVIEW,"240080 - 2450 RIVERSIDE AVENUE, MINNEAPOLIS, MN, 55454, USA",,2,13,,1,1,1,2.0,240080,55454,0,44.9666864,-93.23718819999999
OR,LEGACY EMANUEL MEDICAL CENTER - RANDALL CHILDREN'S HOSPITAL,"380007 - 2801 N GANTENBEIN AVENUE, PORTLAND, OR, 97227, USA",5032766500,24,0,18,1,1,1,1.0,380007,97227,0,45.5437285,-122.6694917
OR,PROVIDENCE CHILD CENTER,"38A001 - 830 NE 47TH AVENUE, PORTLAND, OR, 97213, USA",5032152400,58,0,21,1,1,3,1.0,38A001,97213,0,45.5290415,-122.6137638
AZ,PHOENIX CHILDREN'S HOSPITAL,"033302 - 1919 EAST THOMAS ROAD, PHOENIX, AZ, 85016, USA",6029331000,12,0,18,1,1,1,1.0,033302,85016,0,33.4789434,-112.0418617
AZ,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHWEST TUCSON,"033029 - 1921 WEST HOSPITAL DRIVE, TUCSON, AZ, 85704, USA",5207422800,60,12,,1,0,1,3.0,033029,85704,,32.3185715,-111.0085971
AZ,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SCOTTSDALE,"033025 - 9630 EAST SHEA BOULEVARD, SCOTTSDALE, AZ, 85260, USA",4805515400,60,15,,1,0,1,3.0,033025,85260,,33.5829748,-111.8721594
AZ,"ENCOMPASS HEALTH VALLEY OF THE SUN REHABILITATION HOSPITAL, LLC","033032 - 13460 NORTH 67TH AVENUE, GLENDALE, AZ, 85304, USA",6238788800,75,12,,1,0,1,2.0,033032,85304,,33.6077234,-112.2038455
AZ,MOUNTAIN VALLEY REGIONAL REHABILITATION HOSPITAL,"033036 - 3700 NORTH WINDSONG DRIVE, PRESCOTT VALLEY, AZ, 86314, USA",9287598800,44,13,,1,0,1,3.0,033036,86314,,34.5962432,-112.3293878
AZ,"REHABILITATION HOSPITAL OF NORTHERN ARIZONA, LLC","033041 - 1851 NORTH GEMINI DRIVE, FLAGSTAFF, AZ, 86001, USA",9287747070,40,,,1,0,1,3.0,033041,86001,,35.210043,-111.630553
AZ,"YUMA REHABILITATION HOSPITAL, AN AFFILIATION OF ENCOMPASS HEALTH & YRMC","033034 - 901 WEST 24TH STREET, YUMA, AZ, 85364, USA",9287265000,51,13,,1,0,1,2.0,033034,85364,,32.6833092,-114.6297747
AZ,NORTHWEST MEDICAL CENTER -ORO VALLEY,"030114 - 1551 EAST TANGERINE ROAD, ORO VALLEY, AZ, 85755, USA","5209013500, 5207801631, 5204032563",30,16,,0,0,2,2.0,030114,85755,,32.4291928,-110.9485214
AZ,SELECT SPECIALTY HOSPITAL ARIZONA INC.,"032005 - 1111 EAST MCDOWELL RD, 11TH FLOOR, PHOENIX, AZ, 85006, USA",7179721100,32,,,1,1,,3.0,032005,85006,,33.4645872,-112.0596078
NM,UNM CARRIE TINGLEY HOSPITAL,"323307 - 1127 UNIVERSITY BOULEVARD NE, ALBUQUERQUE, NM, 87102, USA",5052722111,15,0,21,1,1,1,1.0,323307,87102,0,35.093512,-106.6271041
MI,CHILDREN'S HOSPITAL OF MICHIGAN,"233300 - 3901 BEAUBIEN STREET, DETROIT, MI, 48201, USA",3137455437,11,,18,1,0,1,1.0,233300,48201,0,42.3521653,-83.0543534
MI,MARY FREE BED REHABILITATION HOSPITAL,"233026 - 235 WEALTHY SE, GRAND RAPIDS, MI, 49503, USA",8005288989,16,0,,1,0,1,1.0,233026,49503,0,42.9570263,-85.6625116
MI,CS MOTT CHILDREN'S HOSPITAL,"230046 - 1500 E MEDICAL CENTER DRIVE, SPC 5474, ANN ARBOR, MI, 48109, USA",7349364000,8,0,18,1,1,1,1.0,230046,48109,0,42.2836333,-83.7288769
IA,CHILDSERVE THERAPY,"16A001 - 5900 PIONEER PARKWAY, JOHNSTON, IA, 50131, USA",5157278750,27,0,21,1,1,1,1.0,16A001,50131,1,41.6609254,-93.69977779999999
IA,KEOKUK AREA HOSPITAL,"165117 - 1600 MORGAN STREET, KEOKUK, IA, 52632, USA",3195247150,16,12,,1,0,1,2.0,165117,52632,,40.4068066,-91.3872505
IA,ST. LUKE'S HOSPITAL,"160045 - 1026 A AVE NE, CEDAR RAPIDS, IA, 52402, USA",3193697211,17,8,,1,0,1,1.0,160045,52402,0,41.9853036,-91.66043220000002
IA,ST. LUKES REGIONAL MEDICAL CENTER,"160146 - 2720 STONE PARK BOULEVARD, SIOUX CITY, IA, 51104, USA",7122793500,10,16,,1,1,0,3.0,160146,51104,,42.518995,-96.405795
IA,UNITYPOINT HEALTH DESMOINES - IOWA METHODIST MEDICAL CENTER,"160082 - 1200 PLEASANT STREET, DES MOINES, IA, 50309, USA",5152416212,49,14,,1,0,1,3.0,160082,50309,,41.5890661,-93.63357570000001
NY,BLYTHEDALE CHILDREN'S HOSPITAL,"333301 - 95 BRADHURST AVENUE, VALHALLA, NY, 10595, USA",9145927555,100,0,,1,1,3,1.0,333301,10595,1,41.0747317,-73.7997948
NY,SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,"333025 - 1270 BELMONT AVENUE, SCHENECTADY, NY, 12308, USA",5183824500,32,1,,2,0,2,1.0,333025,12308,0,42.8207479,-73.9152685
NY,THE UNITY HOSPITAL OF ROCHESTER,"330226 - 1555 LONG POND ROAD, ROCHESTER, NY, 14626, USA",5857237000,25,0,,1,0,0,1.0,330226,14626,0,43.19199589999999,-77.7051063
NY,TERENCE CARDINAL COOKE HEALTH CARE CENTER,"330410 - 1249 FIFTH AVENUE, NEW YORK, NY, 10029, USA",2123603600,72,0,21,1,1,3,1.0,330410,10029,0,40.793576,-73.9505396
NY,KALEIDA HEALTH,"330005 - 100 HIGH STREET, BUFFALO, NY, 14210, USA",7168598620,20,0,,1,1,0,1.0,330005,14210,0,42.901074,-78.8666618
NY,MONROE COMMUNITY HOSPITAL,"330403 - 435 EAST HENRIETTA ROAD, ROCHESTER, NY, 14620, USA",5857606500,5,0,18,1,1,2,1.0,330403,14620,0,43.1135863,-77.6189091
NY,PATHWAYS NURSING AND REHABILITATION CENTER,"335701 - 1805 PROVIDENCE AVENUE, NISKAYUNA, NY, 12309, USA",5183742212,36,0,21,1,1,3,1.0,335701,12309,0,42.82994619999999,-73.8962447
NY,KINGSBROOK JEWISH MEDICAL CENTER,"330201 - 585 SCHENECTADY AVENUE, BROOKLYN, NY, 11203, USA",7186045789,32,0,21,1,1,3,1.0,330201,11203,0,40.6596041,-73.9337973
NY,ST MARYS HOSPITAL FOR CHILDREN,"33A081 - 29 01 216 STREET, BAYSIDE, NY, 11360, USA",7182818800,124,0,18,1,1,1,1.0,33A081,11360,1,40.7766021,-73.7688912
NY,SUNSHINE CHILDREN'S HOME AND REHAB CENTER,"335667 - 15 SPRING VALLEY ROAD, OSSINING, NY, 10562, USA",9143337000,54,0,18,1,1,1,1.0,335667,10562,1,41.1931076,-73.853048
WA,SEATTLE CHILDRENS HOSPITAL,"503300 - 4800 SAND POINT WAY NE, PO BOX C-5371, SEATTLE, WA, 98105, USA",8669872000,12,,21,1,1,3,1.0,503300,98105,0,47.6623421,-122.2830666
WA,PROVIDENCE ST. LUKE'S REHABILITATION MEDICAL CENTER,"503025 - 711 SOUTH COWLEY ST, SPOKANE, WA, 99202, USA",5094736000,2,1,18,0,0,1,1.0,503025,99202,0,47.64972760000001,-117.4072449
OK,"THE CHILDREN'S CENTER, INC.","373302 - 6800 NORTHWEST 39TH EXPRESSWAY, BETHANY, OK, 73008, USA",4054400690,10,0,21,1,1,1,1.0,373302,73008,1,35.51030009999999,-97.63328249999999
OK,"MERCY HOSPITAL ARDMORE, INC","370047 - 1011 FOURTEENTH AVENUE, NORTHWEST, ARDMORE, OK, 73401, USA",5802235400,14,16,,1,0,0,2.0,370047,73401,,34.1890078,-97.14090120000002
OK,"SAINT FRANCIS HOSPITAL, INC.","370091 - 6161 SOUTH YALE, TULSA, OK, 74136, USA",9184942200,22,12,,1,0,0,2.0,370091,74136,,36.0719359,-95.9178443
TN,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CHATTANOOGA,"443032 - 2412 MCCALLIE AVENUE, CHATTANOOGA, TN, 37404, USA",4236980221,,14,,,,,2.0,443032,37404,,35.0326263,-85.26662850000001
TN,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FRANKLIN,"443035 - 1000 PHYSICIANS WAY, FRANKLIN, TN, 37067, USA",6157214000,,16,,0,0,1,3.0,443035,37067,,35.9191329,-86.81923499999999
TN,"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MEMPHIS, A PARTNER OF METHODIST HEALTHCARE","443029 - 1282 UNION AVENUE, MEMPHIS, TN, 38104, USA",9017222000,80,17,,1,0,1,2.0,443029,38104,,35.1379637,-90.0191658
TN,REGIONAL ONE HEALTH EXTENDED CARE HOSPITAL,"440234 - 890 MADISON AVENUE 4TH FLOOR, MEMPHIS, TN, 38103, USA",9015153000,30,16,,1,1,1,2.0,440234,38103,,35.1408577,-90.03154699999999
TN,REGIONAL ONE HEALTH INPATIENT REHABILIATION HOSPITAL,"442017 - 890 MADISON AVENUE, 4TH FLOOR, MEMPHIS, TN, 38103, USA",9015457376,23,16,,2,0,,2.0,442017,38103,,35.1408577,-90.03154699999999
TN,SISKIN HOSPITAL FOR PHYSICAL REHABILITATION,"443025 - 1 SISKIN PLAZA, CHATTANOOGA, TN, 37403, USA",4236341200,,14,,1,0,,3.0,443025,37403,,35.0503618,-85.2911606
TN,VANDERBILT STALLWORTH REHABILITATION HOSPITAL,"443028 - 2201 CHILDRENS WAY, NASHVILLE, TN, 37212, USA",6153207600,80,14,,,,,2.0,443028,37212,,36.1383063,-86.8024975
TN,"WEST TENNESSEE HEALTHCARE REHABILITATION HOSPITAL CANE CREEK, A PARTNERSHIP WITH ENCOMPASS HEALTH","445206 - 180 MT PELIA RD, MARTIN, TN, 38237, USA",7312611200,40,16,,1,0,0,2.0,445206,38237,,36.3311632,-88.8694108
TN,"WEST TENNESSEE HEALTHCARE REHABILITATION HOSPITAL JACKSON, A PARTNERSHIP WITH ENCOMPASS HEALTH","443036 - 616 WEST FOREST AVENUE, JACKSON, TN, 38301, USA",7315743000,48,16,,1,0,0,2.0,443036,38301,,35.6348886,-88.8283233
SC,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF COLUMBIA,"423025 - 2935 COLONIAL DRIVE, COLUMBIA, SC, 29203, USA",8032547777,96,16,,2,0,2,3.0,423025,29203,,34.0273448,-81.0287025
SC,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ROCK HILL,"423028 - 1795 FRANK GASTON BLVD, ROCK HILL, SC, 29732, USA",2059677116,50,16,,1,0,2,3.0,423028,29732,,34.9587873,-81.052264
SC,GREENWOOD REGIONAL REHABILITATION HOSPITAL,"423030 - 1530 PARKWAY, GREENWOOD, SC, 29646, USA",8643301800,34,16,,1,0,0,3.0,423030,29646,,34.167124,-82.15615009999999
SC,MUSC HEALTH REHABILITATION HOSPITAL AN AFFILIATE OF ENCOMPASS HEALTH/ HEALTHSOUTH REHABILITATION HOSP OF CHARLESTON,"423027 - 9181 MEDCOM ST, NORTH CHARLESTON, SC, 29406, USA",8438207777,49,16,,1,0,0,3.0,423027,29406,,32.9757537,-80.0699623
